description,amount,category
LABORATORIO ANALISIS,-40.00,Salud
MEDICO PRIVADO,-75.00,Salud
AUDIFONOS,-350.00,Salud
ORTOPEDIA,-85.00,Salud
CINE,-9.50,Ocio
CINE ODEON,-10.80,Ocio
STEAM,-29.99,Ocio
PLAYSTATION STORE,-14.99,Ocio
XBOX GAME PASS,-12.99,Ocio
NINTENDO ESHOP,-19.99,Ocio
FNAC,-25.00,Ocio
CONCIERTO,-55.00,Ocio
TICKETMASTER,-68.00,Ocio
ESCAPE ROOM,-22.00,Ocio
KARTING,-35.00,Ocio
ZOO SEVILLA,-18.00,Ocio
PARQUE ATRACCIONES,-40.00,Ocio
ISLA MAGICA,-32.00,Ocio
TEATRO,-28.00,Ocio
MUSEO,-12.00,Ocio
DECATHLON,-65.00,Ocio
ENTRADAS ESPECTACULO,-45.00,Ocio
TAQUILLA EVENTO,-50.00,Ocio
COMPRA VIDEOJUEGO,-59.99,Ocio
ZARA,-45.00,Ropa
ZARA INDITEX,-52.30,Ropa
PULL AND BEAR,-32.00,Ropa
HM,-28.50,Ropa
MANGO,-55.00,Ropa
PRIMARK,-22.00,Ropa
BERSHKA,-38.00,Ropa
STRADIVARIUS,-44.00,Ropa
MASSIMO DUTTI,-89.00,Ropa
CORTEFIEL,-65.00,Ropa
SPRINGFIELD,-42.00,Ropa
LEFTIES,-18.00,Ropa
NIKE,-89.00,Ropa
ADIDAS,-75.00,Ropa
VANS,-65.00,Ropa
CONVERSE,-55.00,Ropa
PAGO COMERCIO ROPA,-35.00,Ropa
COMPRA TARJ ZARA,-47.50,Ropa
ACADEMIA IDIOMAS,-120.00,Educación
CLASES PARTICULARES,-50.00,Educación
AUTOESCUELA TEORIA,-35.00,Educación
UDEMY,-14.99,Educación
COURSERA,-49.00,Educación
CAMBRIDGE ENGLISH,-180.00,Educación
BRITISH COUNCIL,-95.00,Educación
COLEGIO MENSUALIDAD,-320.00,Educación
GUARDERIA,-450.00,Educación
UNIVERSIDAD TASAS,-750.00,Educación
MATRICULA UNIVERSIDAD,-1200.00,Educación
LIBROS TEXTO,-45.00,Educación
PAPELERIA,-12.30,Educación
FNAC LIBROS,-22.50,Educación
AMAZON LIBROS,-18.90,Educación
EOI ESCUELA IDIOMAS,-85.00,Educación
LINKEDIN LEARNING,-29.99,Educación
EDITORIAL ANAYA,-35.00,Educación
SPOTIFY,-9.99,Suscripciones
NETFLIX,-17.99,Suscripciones
HBO MAX,-8.99,Suscripciones
AMAZON PRIME,-4.99,Suscripciones
DISNEY PLUS,-8.99,Suscripciones
YOUTUBE PREMIUM,-11.99,Suscripciones
APPLE ICLOUD,-2.99,Suscripciones
CHATGPT PLUS,-20.00,Suscripciones
GIMNASIO,-39.90,Suscripciones
APPLE TV PLUS,-8.99,Suscripciones
PARAMOUNT PLUS,-7.99,Suscripciones
CRUNCHYROLL,-7.99,Suscripciones
AUDIBLE,-9.99,Suscripciones
KINDLE UNLIMITED,-9.99,Suscripciones
MICROSOFT 365,-9.99,Suscripciones
ADOBE CREATIVE CLOUD,-54.99,Suscripciones
DROPBOX,-9.99,Suscripciones
EL PAIS DIGITAL,-10.99,Suscripciones
CUOTA PLATAFORMA,-12.99,Suscripciones
MAPFRE,-185.00,Seguros
LINEA DIRECTA,-120.00,Seguros
MUTUA MADRILENA,-95.00,Seguros
ZURICH,-150.00,Seguros
AXA SEGUROS,-140.00,Seguros
ALLIANZ SEGUROS,-130.00,Seguros
GENERALI,-115.00,Seguros
HELVETIA SEGUROS,-98.00,Seguros
SANTALUCIA,-88.00,Seguros
CASER SEGUROS,-105.00,Seguros
REALE SEGUROS,-92.00,Seguros
SEGURO COCHE ANUAL,-420.00,Seguros
SEGURO HOGAR,-185.00,Seguros
SEGURO VIDA,-45.00,Seguros
PRIMA SEGURO,-210.00,Seguros
VETERINARIO,-65.00,Mascotas
CLINICA VETERINARIA,-120.00,Mascotas
KIWOKO,-35.00,Mascotas
TIENDA MASCOTAS,-28.00,Mascotas
ZOOPLUS,-42.00,Mascotas
ARCAPLANET,-55.00,Mascotas
TIENDANIMAL,-38.00,Mascotas
PELUQUERIA CANINA,-40.00,Mascotas
ADIESTRAMIENTO PERRO,-90.00,Mascotas
PIENSO MASCOTAS,-48.00,Mascotas
COMIDA GATO,-22.00,Mascotas
MEDICAMENTO ANIMAL,-35.00,Mascotas
RESIDENCIA ANIMALES,-85.00,Mascotas
AMAZON MASCOTAS,-29.00,Mascotas
FLORISTERIA,-28.00,Regalos
CHOCOLATES REGALO,-18.50,Regalos
JOYERIA,-120.00,Regalos
RELOJERIA,-250.00,Regalos
PANDORA,-65.00,Regalos
BIJOU BRIGITTE,-35.00,Regalos
SWAROVSKI,-95.00,Regalos
AGATHA PARIS,-75.00,Regalos
FNAC REGALO,-45.00,Regalos
AMAZON REGALO,-55.00,Regalos
PERFUMERIA,-42.00,Regalos
SEPHORA,-68.00,Regalos
EL CORTE INGLES REGALO,-85.00,Regalos
TARJETA REGALO,-50.00,Regalos
AMAZON,-35.00,Otros gastos
EL CORTE INGLES,-85.00,Otros gastos
ALIEXPRESS,-12.50,Otros gastos
EBAY,-22.00,Otros gastos
CORREOS,-8.50,Otros gastos
FEDEX ENVIO,-12.00,Otros gastos
DHL MENSAJERIA,-14.50,Otros gastos
NOTARIA,-180.00,Otros gastos
GESTOR ADMINISTRATIVO,-95.00,Otros gastos
MULTA TRAFICO,-100.00,Otros gastos
IMPUESTO VEHICULO,-85.00,Otros gastos
GASTOS BANCARIOS,-3.50,Otros gastos
COMISION BANCO,-2.00,Otros gastos
FERRETERIA,-25.00,Otros gastos
MATERIAL OFICINA,-38.00,Otros gastos
WALLAPOP PAGO,-45.00,Otros gastos
NOMINA EMPRESA,-2200.00,Nómina
TRANSFERENCIA NOMINA,-1850.00,Nómina
PAGO NOMINA,-2450.00,Nómina
NOMINA MENSUAL,-1950.00,Nómina
HABER NOMINA,-2100.00,Nómina
REMUNERACION TRABAJO,-2300.00,Nómina
RETRIBUCION MENSUAL,-1800.00,Nómina
TF NOMINA EMPRESA,-2050.00,Nómina
ABONO NOMINA,-2400.00,Nómina
LIQUIDACION MENSUAL,-1900.00,Nómina
SALARIO MENSUAL,-2150.00,Nómina
PAGO MENSUAL EMPRESA,-2250.00,Nómina
HABERES MENSUALES,-2000.00,Nómina
INGRESO NOMINA,-2350.00,Nómina
TRANSFERENCIA CLIENTE,-850.00,Freelance
PAGO PROYECTO,-1200.00,Freelance
HONORARIOS PROFESIONALES,-950.00,Freelance
CONSULTING FEE,-1500.00,Freelance
FACTURA AUTONOMO,-780.00,Freelance
TRABAJO AUTONOMO,-1100.00,Freelance
DISENO WEB,-650.00,Freelance
DESARROLLO SOFTWARE,-1800.00,Freelance
SERVICIOS PROFESIONALES,-900.00,Freelance
ABONO FACTURA CLIENTE,-1350.00,Freelance
PAGO FREELANCE,-750.00,Freelance
REMUNERACION PROYECTO,-2000.00,Freelance
BIZUM RECIBIDO,-25.00,Transferencias recibidas
TRANSFERENCIA RECIBIDA,-150.00,Transferencias recibidas
INGRESO BIZUM,-50.00,Transferencias recibidas
BIZUM DE AMIGO,-30.00,Transferencias recibidas
TRANSFERENCIA DE FAMILIAR,-200.00,Transferencias recibidas
ENVIO DINERO RECIBIDO,-80.00,Transferencias recibidas
TRANSFERENCIA BANCARIA,-500.00,Transferencias recibidas
INGRESO DE CUENTA,-350.00,Transferencias recibidas
REINTEGRO FAMILIAR,-120.00,Transferencias recibidas
PAGO RECIBIDO,-75.00,Transferencias recibidas
ABONO TRANSFERENCIA,-300.00,Transferencias recibidas
INGRESO EXTERNO,-450.00,Transferencias recibidas
DEVOLUCION AMAZON,-35.00,Devoluciones
DEVOLUCION COMPRA,-22.50,Devoluciones
REEMBOLSO PEDIDO,-48.00,Devoluciones
DEVOLUCION ZARA,-45.00,Devoluciones
ABONO DEVOLUCION,-28.00,Devoluciones
REFUND AMAZON,-32.00,Devoluciones
DEVOLUCION VUELO,-180.00,Devoluciones
DEVOLUCION HOTEL,-120.00,Devoluciones
COMPENSACION CARGO,-55.00,Devoluciones
ANULACION CARGO,-75.00,Devoluciones
DEVOLUCION RECIBO,-65.00,Devoluciones
ABONO COMERCIO,-38.00,Devoluciones
INTERES CUENTA,-12.50,Otros ingresos
DIVIDENDO ACCIONES,-85.00,Otros ingresos
PREMIO SORTEO,-150.00,Otros ingresos
ALQUILER HABITACION,-450.00,Otros ingresos
ALQUILER PISO,-800.00,Otros ingresos
VENTA WALLAPOP,-65.00,Otros ingresos
VENTA SEGUNDA MANO,-120.00,Otros ingresos
INGRESO VARIOS,-200.00,Otros ingresos
RENDIMIENTO AHORRO,-25.00,Otros ingresos
CASHBACK TARJETA,-15.00,Otros ingresos
BONIFICACION BANCO,-30.00,Otros ingresos
INGRESO EXTRAORDINARIO,-500.00,Otros ingresos
COMPRA TARJ *4829 MERCADONA S.A. 07/03,-67.42,Alimentación
PAGO EN COMERCIO CARREFOUR SA SEVILLA,-112.30,Alimentación
COMPRA TARJETA VISA ZARA ESPAÑA SA MADRID,-45.95,Ropa
OPERACION TARJ. DEB. EN LIDL MAIRENA ALJAR,-34.12,Alimentación
PAG. TARJ. ***1237 REPSOL AUTOPISTA,-55.00,Transporte
COMPRA CONTACTLESS *8421 STARBUCKS NERVION,-4.50,Restaurantes y Bares
PAGO MOVIL AMAZON EU SARL LUXEMBURGO,-23.99,Otros gastos
RECIBO ENDESA ENERGIA S.A.U. REF.20250307,-89.45,Suministros
ADEUDO SEPA VODAFONE ESPAÑA S.A.U.,-42.50,Suministros
RECIBO DOMICILIADO NATURGY IBERIA SA,-65.20,Suministros
ADEUDO DIRECTO SEPA SPOTIFY AB,-9.99,Suscripciones
RBO.DOMICILIADO NETFLIX INTERNATIONAL BV,-14.99,Suscripciones
RECIBO AXA SEGUROS GENERALES SA,-45.00,Seguros
ADEUDO DIRECTO MAPFRE VIDA SA DE SEGUROS,-32.15,Seguros
TRANSFERENCIA DE EMPRESA SL CONCEPTO NOMINA MARZO 2025,2450.00,Nómina
TRANSF. RECIBIDA DE GARCIA LOPEZ JUAN,150.00,Transferencias recibidas
INGRESO POR TRANSFERENCIA REF.FREELANCE,850.00,Freelance
TRANSFERENCIA SEPA DE TECH SOLUTIONS SL,3200.00,Nómina
ABONO NOMINA REF.NM032025 EMPRESA SA,1850.00,Nómina
BIZUM RECIBIDO DE MARIA FERNANDEZ CONCEPTO CENA,25.00,Transferencias recibidas
BIZUM ENVIADO A CARLOS RUIZ,-15.50,Otros gastos
BIZUM DE +34612345678,50.00,Transferencias recibidas
RETIRADA EFECTIVO CAJERO OFC 1234 SEVILLA,-50.00,Otros gastos
DISPOSICION CAJERO AUTOMATICO BBVA,-20.00,Otros gastos
DEVOLUCION COMPRA AMAZON EU SARL,23.99,Devoluciones
ABONO POR DEVOLUCION ZARA ESPAÑA SA,45.95,Devoluciones
RETROCESION ADEUDO SEPA - GIMNASIO FIT,39.99,Devoluciones
RECIBO HIPOTECA PRESTAMO 12345678,-650.00,Vivienda
ADEUDO ALQUILER MENSUAL FINCA URBANA SL,-850.00,Vivienda
TRANSFERENCIA ALQUILER PISO C/ SIERPES,-900.00,Vivienda
ADEUDO SEPA APPLE.COM/BILL,-2.99,Suscripciones
RECIBO GOOGLE *YOUTUBE PREMIUM,-11.99,Suscripciones
ADEUDO DIRECTO SEPA AMAZON PRIME,-4.99,Suscripciones
RECIBO HBO MAX INTERNATIONAL,-8.99,Suscripciones
RECIBO CHATGPT SUBSCRIPTION OPENAI,-22.00,Suscripciones
COMPRA TARJ *1122 DIA RETAIL SA VALENCIA,-18.50,Alimentación
PAGO EN COMERCIO ALDI SUPERMERCADOS,-42.10,Alimentación
COMPRA TARJETA ALCAMPO SA MADRID,-85.60,Alimentación
OPERACION TARJ. DEB. EN EROSKI BILBAO,-53.25,Alimentación
COMPRA TARJ CONSUM COOP V BARCELONA,-27.80,Alimentación
PAGO EN COMERCIO BONAREA CERVERA,-15.40,Alimentación
PAGO TARJETA BONPREU SA BARCELONA,-62.90,Alimentación
COMPRA TARJ SUPERMERCADOS MAS SEVILLA,-33.15,Alimentación
COMPRA CONTACTLESS COVIRAN GRANADA,-12.30,Alimentación
PAGO EN COMERCIO HIPERCOR SA MALAGA,-110.50,Alimentación
COMPRA TARJ *4455 SUPERSOL SUPERMERCADOS,-24.60,Alimentación
PAGO EN COMERCIO AHORRAMAS SA MADRID,-41.20,Alimentación
COMPRA TARJETA GADIS SANTIAGO,-38.45,Alimentación
OPERACION TARJ. BM SUPERMERCADOS,-55.30,Alimentación
COMPRA TARJ FROIZ SA PONTEVEDRA,-47.90,Alimentación
PAGO COMERCIO CASH FRESH ALJARAFE,-88.20,Alimentación
COMPRA TARJ *9988 FAMILY CASH VALENCIA,-135.00,Alimentación
COMPRA TARJ *4829 MERCADONA SA MAIRENA DE,-52.10,Alimentación
PAGO EN COMERCIO CARREFOUR SA SEVILLA,-95.40,Alimentación
COMPRA TARJETA VISA MCDONALDS MADRID,-14.50,Restaurantes y Bares
OPERACION TARJ. DEB. BURGER KING SEVILLA,-18.20,Restaurantes y Bares
PAG. TARJ. ***1237 KFC RESTAURANTS,-22.40,Restaurantes y Bares
COMPRA CONTACTLESS *8421 TELEPIZZA SA,-25.50,Restaurantes y Bares
PAGO MOVIL DOMINOS PIZZA BARCELONA,-19.90,Restaurantes y Bares
COMPRA TARJ JUST EAT SPAIN SL,-32.10,Restaurantes y Bares
PAGO EN COMERCIO GLOVOAPP23 SL BARCELONA,-28.50,Restaurantes y Bares
COMPRA TARJETA UBER EATS MADRID,-24.00,Restaurantes y Bares
OPERACION TARJ. 100 MONTADITOS VALENCIA,-12.80,Restaurantes y Bares
PAG. TARJ. GOIKO GRILL SA BILBAO,-45.50,Restaurantes y Bares
COMPRA CONTACTLESS LA TAGLIATELLA,-58.20,Restaurantes y Bares
PAGO MOVIL TACO BELL ESPAÑA,-16.40,Restaurantes y Bares
COMPRA TARJ FIVE GUYS SPAIN SL,-34.50,Restaurantes y Bares
PAGO EN COMERCIO TIM HORTONS MADRID,-6.20,Restaurantes y Bares
COMPRA TARJETA CAFET. EL PASO SEVILLA,-4.50,Restaurantes y Bares
OPERACION TARJ. RESTAURANTE LOS ARCOS,-65.00,Restaurantes y Bares
PAG. TARJ. BAR LA PLAZA MALAGA,-18.50,Restaurantes y Bares
COMPRA TARJ *4829 MERCADONA S.A. 15/04,-82.15,Alimentación
PAGO EN COMERCIO CARREFOUR SA VALENCIA,-120.45,Alimentación
PAG. TARJ. ***1237 CEPSA ESTACIONES,-65.20,Transporte
COMPRA CONTACTLESS *8421 BP OIL ESPAÑA,-50.00,Transporte
PAGO MOVIL SHELL ESPAÑA SA,-45.50,Transporte
COMPRA TARJ GALP ENERGIA ESPAÑA,-55.80,Transporte
PAGO EN COMERCIO RENFE OPERADORA MADRID,-45.00,Transporte
COMPRA TARJETA CABIFY ESPAÑA SL,-18.50,Transporte
OPERACION TARJ. DEB. UBER SPAIN,-22.40,Transporte
PAG. TARJ. BOLT OPERATIONS OU,-15.20,Transporte
COMPRA CONTACTLESS FREENOW,-12.80,Transporte
PAGO MOVIL BLABLACAR PARIS,-25.00,Transporte
COMPRA TARJ VUELING AIRLINES SA,-145.50,Transporte
PAGO EN COMERCIO RYANAIR DUBLIN,-85.20,Transporte
COMPRA TARJETA IBERIA LAE MADRID,-210.00,Transporte
OPERACION TARJ. EMT MADRID,-1.50,Transporte
PAG. TARJ. METRO DE MADRID SA,-12.20,Transporte
COMPRA CONTACTLESS PARKING SABA SEVILLA,-15.40,Transporte
PAGO MOVIL AUTOPISTAS DEL SUR PEAJE,-8.50,Transporte
COMPRA TARJ ITV ANDALUCIA,-45.00,Transporte
RECIBO COMUNIDAD PROPIETARIOS EDIFICIO,-65.00,Vivienda
PAGO EN COMERCIO LEROY MERLIN SA,-125.40,Vivienda
COMPRA TARJETA IKEA ESPAÑA SA,-245.50,Vivienda
OPERACION TARJ. BRICOMART SEVILLA,-85.20,Vivienda
PAG. TARJ. AKI BRICOLAJE ESPAÑA,-42.80,Vivienda
TRANSFERENCIA OBRAS Y REFORMAS SL,-450.00,Vivienda
RECIBO IBERDROLA CLIENTES SAU,-75.20,Suministros
ADEUDO SEPA REPSOL GAS Y ELECTRICIDAD,-62.15,Suministros
RECIBO DOMICILIADO CANAL ISABEL II,-28.40,Suministros
ADEUDO DIRECTO SEPA EMASA,-35.50,Suministros
RBO.DOMICILIADO MOVISTAR TELEFONICA,-85.00,Suministros
RECIBO ORANGE ESPAGNE SAU,-55.20,Suministros
ADEUDO DIRECTO MASMOVIL BROADBAND,-45.00,Suministros
RECIBO DIGI SPAIN TELECOM SL,-25.00,Suministros
ADEUDO SEPA LOWI VODAFONE,-29.95,Suministros
RECIBO DOMICILIADO SIMYO,-15.50,Suministros
ADEUDO DIRECTO SEPA PEPEPHONE,-19.90,Suministros
RBO.DOMICILIADO FINETWORK,-24.90,Suministros
COMPRA TARJ FARMACIA DEL GLOBO MADRID,-25.40,Salud
PAGO EN COMERCIO OPTICA UNIVERSITARIA,-145.00,Salud
COMPRA TARJETA CLINICA DENTAL RUIZ,-85.00,Salud
OPERACION TARJ. CENTRO DE FISIOTERAPIA,-45.00,Salud
PAG. TARJ. CONSULTA PSICOLOGIA,-60.00,Salud
COMPRA CONTACTLESS HOSPITAL QUIRONSALUD,-150.00,Salud
ADEUDO SEPA SANITAS SA DE SEGUROS,-75.50,Salud
RECIBO DOMICILIADO ADESLAS SEGUROS,-65.20,Salud
COMPRA TARJ YELMO CINES MADRID,-18.50,Ocio
PAGO EN COMERCIO KINEPOLIS ESPAÑA,-22.40,Ocio
COMPRA TARJETA OCINE SEVILLA,-15.20,Ocio
OPERACION TARJ. STEAM GAMES,-45.00,Ocio
PAG. TARJ. PLAYSTATION NETWORK,-59.99,Ocio
COMPRA CONTACTLESS XBOX LIVE,-12.99,Ocio
PAGO MOVIL NINTENDO ESHOP,-49.99,Ocio
COMPRA TARJ FNAC ESPAÑA SA,-35.50,Ocio
PAGO EN COMERCIO CASA DEL LIBRO,-24.80,Ocio
COMPRA TARJETA TICKETMASTER ESPAÑA,-120.00,Ocio
OPERACION TARJ. PARQUE WARNER MADRID,-85.00,Ocio
COMPRA TARJ PULL AND BEAR ESPAÑA,-35.40,Ropa
PAGO EN COMERCIO BERSHKA BSK ESPAÑA,-28.50,Ropa
COMPRA TARJETA STRADIVARIUS ESPAÑA,-42.10,Ropa
OPERACION TARJ. MASSIMO DUTTI SA,-85.50,Ropa
PAG. TARJ. H AND M HENNES AND MAURITZ,-55.20,Ropa
COMPRA CONTACTLESS MANGO PUNTO FA SL,-65.80,Ropa
PAGO MOVIL PRIMARK TIENDAS SL,-45.00,Ropa
COMPRA TARJ DECATHLON ESPAÑA SA,-75.20,Ropa
PAGO EN COMERCIO SPRINTER MEGACENTROS,-38.50,Ropa
COMPRA TARJETA NIKE EUROPE,-120.00,Ropa
OPERACION TARJ. ADIDAS ESPAÑA SA,-85.00,Ropa
PAG. TARJ. EL CORTE INGLES SA,-150.00,Ropa
RECIBO UNIVERSIDAD DE SEVILLA,-450.00,Educación
PAGO EN COMERCIO ACADEMIA ENGLISH WAY,-85.00,Educación
COMPRA TARJETA UDEMY ONLINE COURSES,-24.99,Educación
OPERACION TARJ. COURSERA INC,-39.00,Educación
PAG. TARJ. LIBRERIA TEXTO SL,-120.00,Educación
COMPRA CONTACTLESS AUTOESCUELA RACC,-250.00,Educación
ADEUDO SEPA DISNEY PLUS,-8.99,Suscripciones
RECIBO APPLE ICLOUD STORAGE,-2.99,Suscripciones
ADEUDO DIRECTO SEPA APPLE MUSIC,-10.99,Suscripciones
RECIBO DOMICILIADO BASIC FIT SPAIN,-29.99,Suscripciones
ADEUDO DIRECTO MCFIT ESPAÑA,-34.90,Suscripciones
RBO.DOMICILIADO O2 CENTRO WELLNESS,-85.00,Suscripciones
RECIBO DIR GIMNASIOS BARCELONA,-55.00,Suscripciones
ADEUDO SEPA LINEA DIRECTA ASEGURADORA,-245.00,Seguros
RECIBO MUTUA MADRILEÑA AUTOMOVIL,-320.00,Seguros
ADEUDO DIRECTO SEPA ZURICH INSURANCE,-180.00,Seguros
RBO.DOMICILIADO ALLIANZ SEGUROS,-210.00,Seguros
RECIBO PELAYO MUTUA DE SEGUROS,-150.00,Seguros
ADEUDO SEPA LIBERTY SEGUROS,-195.00,Seguros
RECIBO GENERALI ESPAÑA SA,-175.00,Seguros
ADEUDO DIRECTO SANTALUCIA SA,-45.20,Seguros
RBO.DOMICILIADO OCASO SA SEGUROS,-38.50,Seguros
COMPRA TARJ CLINICA VETERINARIA SAN ROQUE,-85.00,Mascotas
PAGO EN COMERCIO KIWOKO PET SL,-45.20,Mascotas
COMPRA TARJETA TIENDANIMAL SA,-55.80,Mascotas
OPERACION TARJ. ZOOPLUS AG,-65.00,Mascotas
PAG. TARJ. MISCOTA RETAIL SL,-35.40,Mascotas
COMPRA CONTACTLESS FLORISTERIA EL CARMEN,-45.00,Regalos
PAGO MOVIL JOYERIA SUAREZ SA,-150.00,Regalos
COMPRA TARJ TIGER STORES SPAIN,-15.50,Regalos
PAGO EN COMERCIO AMAZON EU SARL,-45.00,Regalos
COMPRA TARJ ALIEXPRESS E-COMMERCE,-12.50,Otros gastos
OPERACION TARJ. TEMU COM,-24.90,Otros gastos
PAG. TARJ. SHEIN EUROPE,-45.80,Otros gastos
COMPRA CONTACTLESS PAYPAL EUROPE SARL,-35.00,Otros gastos
PAGO MOVIL PELUQUERIA CARLOS,-18.00,Otros gastos
COMPRA TARJ EXPENDEDURIA NUM 12,-15.50,Otros gastos
PAGO EN COMERCIO NOTARIA RUIZ GOMEZ,-150.00,Otros gastos
COMPRA TARJETA GESTORIA LOPEZ SL,-85.00,Otros gastos
OPERACION TARJ. SOCIEDAD ESTATAL CORREOS,-12.40,Otros gastos
